scenario_id,split,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,dangling_precision,dangling_recall
sec_dev_0000,dev,25,16,1.0,0.64,0.7805,0.0645,0.48,0.806,0.194,0.5625,0.5625
sec_dev_0001,dev,29,16,0.875,0.4828,0.6222,0.2121,0.8621,0.755,0.245,0.5833,0.5833
sec_dev_0002,dev,27,20,0.85,0.6296,0.7234,0.1471,0.6667,0.7261,0.2739,1.0,0.5714
sec_dev_0003,dev,26,20,0.95,0.7308,0.8261,0.0833,0.5,0.8123,0.1877,0.875,0.4667
sec_dev_0004,dev,29,18,0.7778,0.4828,0.5957,0.1875,0.7931,0.7126,0.2874,0.5625,0.75
sec_dev_0005,dev,31,15,0.9333,0.4516,0.6087,0.2,0.9032,0.7257,0.2743,0.5833,0.7
sec_dev_0006,dev,28,18,0.8333,0.5357,0.6522,0.1351,0.8571,0.7749,0.2251,0.75,0.4615
sec_dev_0007,dev,25,19,0.8947,0.68,0.7727,0.0294,0.48,0.7964,0.2036,0.6667,0.5
sec_dev_0008,dev,30,18,1.0,0.6,0.75,0.2333,0.6333,0.6855,0.3145,0.6923,0.8182
sec_dev_0009,dev,25,13,0.6923,0.36,0.4737,0.1176,1.0,0.7227,0.2773,0.5333,0.5
sec_dev_0010,dev,30,19,0.7895,0.5,0.6122,0.0909,0.6667,0.8007,0.1993,0.5,0.6364
sec_dev_0011,dev,25,14,0.8571,0.48,0.6154,0.0789,0.92,0.762,0.238,0.875,0.4375
sec_test_0000,test,27,12,0.75,0.3333,0.4615,0.1875,1.0,0.6566,0.3434,0.4667,0.5
sec_test_0001,test,25,17,0.9412,0.64,0.7619,0.0588,0.56,0.8081,0.1919,0.6364,0.4375
sec_test_0002,test,26,17,1.0,0.6538,0.7907,0.0294,0.4615,0.8477,0.1523,0.5333,0.5333
sec_test_0003,test,30,20,0.95,0.6333,0.76,0.1818,0.5667,0.7407,0.2593,0.6364,0.6364
sec_test_0004,test,28,17,0.9412,0.5714,0.7111,0.0333,0.6071,0.8196,0.1804,0.45,0.6923
sec_test_0005,test,31,20,0.95,0.6129,0.7451,0.1389,0.6452,0.734,0.266,0.7778,0.7
sec_test_0006,test,24,13,0.9231,0.5,0.6486,0.0938,0.875,0.7169,0.2831,0.6667,0.4706
sec_test_0007,test,27,15,0.7333,0.4074,0.5238,0.1818,0.9259,0.6728,0.3272,0.7,0.5
sec_test_0008,test,29,17,1.0,0.5862,0.7391,0.1818,0.6207,0.7628,0.2372,0.5714,0.6667
sec_test_0009,test,32,16,0.8125,0.4062,0.5417,0.1892,1.0312,0.7347,0.2653,0.6667,0.8889
sec_test_0010,test,26,19,0.8947,0.6538,0.7556,0.0938,0.5,0.7584,0.2416,0.6,0.4
sec_test_0011,test,27,23,0.913,0.7778,0.84,0.0909,0.3333,0.7882,0.2118,0.7778,0.5
sec_test_0012,test,27,17,0.8235,0.5185,0.6364,0.1176,0.7778,0.7586,0.2414,0.5833,0.5
