variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
no_motion,dev,precision,+0.0038,+,no,0.27,0.7998,+0.0007,-0.0297,+0.0426,-0.0225,+0.0279
no_motion,dev,recall,-0.0088,-,no,-0.89,0.4225,-0.0243,-0.0352,+0.0179,-0.0105,+0.0081
no_motion,dev,f1,-0.0062,-,no,-0.55,0.6127,-0.0198,-0.0363,+0.0261,-0.0147,+0.0135
no_motion,dev,wrong_merge_rate,+0.0052,+,no,1.15,0.3137,+0.0071,+0.0147,-0.0053,+0.0146,-0.0053
no_motion,dev,fragmentation_rate,+0.0048,+,no,0.34,0.7489,+0.0093,+0.0384,-0.0429,+0.0254,-0.0061
no_motion,dev,impossible_transition_rate,+0.0055,+,no,1.15,0.3128,+0.0060,+0.0183,+0.0080,+0.0061,-0.0111
no_motion,dev,trajectory_consistency_rate,-0.0055,-,no,-1.15,0.3128,-0.0060,-0.0183,-0.0080,-0.0061,+0.0111
no_motion,dev,dangling_precision,-0.0045,-,no,-0.18,0.8662,-0.0649,-0.0587,+0.0424,+0.0578,+0.0007
no_motion,dev,dangling_recall,-0.0055,-,no,-1.11,0.3293,+0.0025,-0.0184,-0.0166,-0.0001,+0.0050
no_motion,test,precision,-0.0076,-,no,-1.39,0.2381,+0.0088,-0.0053,-0.0125,-0.0042,-0.0247
no_motion,test,recall,-0.0227,-,YES,-3.36,0.0282,-0.0352,-0.0425,-0.0136,-0.0089,-0.0133
no_motion,test,f1,-0.0203,-,YES,-4.24,0.0133,-0.0270,-0.0352,-0.0139,-0.0082,-0.0174
no_motion,test,wrong_merge_rate,+0.0024,+,no,1.11,0.3302,-0.0050,+0.0081,+0.0045,+0.0019,+0.0024
no_motion,test,fragmentation_rate,+0.0238,+,YES,2.68,0.0553,+0.0016,+0.0441,+0.0114,+0.0455,+0.0166
no_motion,test,impossible_transition_rate,-0.0007,-,no,-0.21,0.8451,+0.0049,+0.0079,+0.0009,-0.0116,-0.0059
no_motion,test,trajectory_consistency_rate,+0.0007,+,no,0.21,0.8451,-0.0049,-0.0079,-0.0009,+0.0116,+0.0059
no_motion,test,dangling_precision,-0.0388,-,no,-1.12,0.3264,-0.1065,-0.1305,-0.0180,+0.0537,+0.0073
no_motion,test,dangling_recall,+0.0080,+,no,1.83,0.1405,+0.0206,+0.0154,+0.0053,+0.0022,-0.0034
no_time,dev,precision,+0.0123,+,no,2.81,0.0483,+0.0078,-0.0021,+0.0185,+0.0141,+0.0230
no_time,dev,recall,+0.0029,+,no,0.30,0.7818,+0.0068,+0.0076,+0.0039,+0.0288,-0.0324
no_time,dev,f1,+0.0053,+,no,0.71,0.5182,+0.0059,+0.0055,+0.0091,+0.0267,-0.0205
no_time,dev,wrong_merge_rate,+0.0002,+,no,0.03,0.9786,-0.0064,+0.0140,-0.0151,+0.0189,-0.0105
no_time,dev,fragmentation_rate,-0.0076,-,no,-0.78,0.4769,+0.0222,-0.0312,-0.0175,-0.0187,+0.0072
no_time,dev,impossible_transition_rate,-0.0019,-,no,-0.24,0.8210,-0.0063,+0.0178,-0.0077,+0.0129,-0.0263
no_time,dev,trajectory_consistency_rate,+0.0019,+,no,0.24,0.8210,+0.0063,-0.0178,+0.0077,-0.0129,+0.0263
no_time,dev,dangling_precision,+0.0258,+,no,0.51,0.6338,+0.0589,+0.0247,+0.0211,+0.1681,-0.1439
no_time,dev,dangling_recall,+0.0014,+,no,0.11,0.9186,+0.0043,-0.0273,-0.0021,-0.0151,+0.0470
no_time,test,precision,+0.0031,+,no,0.35,0.7458,+0.0193,+0.0082,-0.0030,+0.0195,-0.0285
no_time,test,recall,-0.0008,-,no,-0.06,0.9566,+0.0180,-0.0084,-0.0023,+0.0375,-0.0491
no_time,test,f1,-0.0001,-,no,-0.01,0.9949,+0.0193,-0.0038,-0.0026,+0.0340,-0.0474
no_time,test,wrong_merge_rate,-0.0087,-,no,-1.39,0.2375,-0.0150,+0.0015,+0.0105,-0.0183,-0.0224
no_time,test,fragmentation_rate,+0.0079,+,no,0.90,0.4167,-0.0162,+0.0200,+0.0089,-0.0057,+0.0324
no_time,test,impossible_transition_rate,-0.0006,-,no,-0.11,0.9191,-0.0040,+0.0179,+0.0045,-0.0030,-0.0187
no_time,test,trajectory_consistency_rate,+0.0006,+,no,0.11,0.9191,+0.0040,-0.0179,-0.0045,+0.0030,+0.0187
no_time,test,dangling_precision,+0.0176,+,no,0.30,0.7794,+0.0599,-0.0294,-0.0150,+0.2146,-0.1420
no_time,test,dangling_recall,+0.0030,+,no,0.55,0.6099,-0.0034,+0.0094,+0.0051,-0.0139,+0.0177
no_state,dev,precision,+0.0305,+,YES,3.98,0.0165,+0.0211,+0.0322,+0.0142,+0.0264,+0.0588
no_state,dev,recall,-0.0005,-,no,-0.05,0.9656,-0.0249,-0.0013,+0.0098,+0.0359,-0.0222
no_state,dev,f1,+0.0074,+,no,0.88,0.4267,-0.0149,+0.0075,+0.0118,+0.0357,-0.0029
no_state,dev,wrong_merge_rate,-0.0121,-,no,-1.62,0.1802,+0.0035,+0.0003,-0.0075,-0.0195,-0.0374
no_state,dev,fragmentation_rate,-0.0218,-,no,-3.04,0.0382,+0.0031,-0.0349,-0.0158,-0.0353,-0.0263
no_state,dev,impossible_transition_rate,-0.0067,-,YES,-1.48,0.2128,-0.0001,-0.0007,-0.0081,-0.0007,-0.0238
no_state,dev,trajectory_consistency_rate,+0.0067,+,YES,1.48,0.2128,+0.0001,+0.0007,+0.0081,+0.0007,+0.0238
no_state,dev,dangling_precision,-0.0460,-,no,-0.97,0.3850,-0.0548,-0.1003,+0.0276,+0.0830,-0.1853
no_state,dev,dangling_recall,+0.0137,+,no,1.39,0.2361,+0.0206,+0.0005,-0.0045,+0.0026,+0.0491
no_state,test,precision,+0.0025,+,no,0.35,0.7438,+0.0022,+0.0242,-0.0166,+0.0106,-0.0080
no_state,test,recall,-0.0143,-,no,-1.09,0.3362,-0.0351,+0.0049,-0.0124,+0.0217,-0.0506
no_state,test,f1,-0.0111,-,no,-0.93,0.4042,-0.0287,+0.0111,-0.0145,+0.0202,-0.0437
no_state,test,wrong_merge_rate,-0.0026,-,no,-0.24,0.8214,-0.0173,-0.0030,+0.0329,+0.0049,-0.0305
no_state,test,fragmentation_rate,-0.0045,-,no,-0.30,0.7824,-0.0019,-0.0604,+0.0247,-0.0052,+0.0204
