model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall
m3_full,19521006,dev,0.7549750558292921,0.4514534497760722,0.5642686368212882,0.20715312306749703,0.8581710884101484,0.2869903978643037,0.7130096021356963,0.5955723181221625,0.5325399760293982
m3_full,19521006,test,0.7521388184766573,0.4438535281725389,0.5580556560323449,0.2206179412787549,0.8815516373174895,0.2889229328611941,0.711077067138806,0.6257435765995687,0.5145481458478682
m3_full,19521007,dev,0.7647754240112642,0.4612414460000467,0.5748229303653086,0.20462568234017506,0.8674616934410789,0.2795375996762763,0.7204624003237239,0.6847404674089211,0.5427246333142507
m3_full,19521007,test,0.7608210497344333,0.4711848665855726,0.5812985468377808,0.2082314053394995,0.8461340507702937,0.28513856224767326,0.7148614377523267,0.740063451410164,0.4984559693449175
m3_full,19521008,dev,0.724152762520918,0.44968256377889765,0.5535190117811023,0.23453513578676108,0.9198577665125321,0.3040468985107745,0.6959531014892256,0.7303496651393369,0.5131001096917727
m3_full,19521008,test,0.7429259798182029,0.44448855164069284,0.5557601372717508,0.22367766315463308,0.9113274857426389,0.3003256790549442,0.6996743209450558,0.7740983571489688,0.4962356793566966
m3_full,19521009,dev,0.7365687463887726,0.4386230535265499,0.5491734373617605,0.22366139295859178,0.9236784785493951,0.29425634620291063,0.7057436537970895,0.707202455146534,0.5072089613664138
m3_full,19521009,test,0.7419316617830579,0.4447312805558545,0.5555590950219844,0.23113219311435645,0.8892346184006186,0.3002698199990776,0.6997301800009225,0.7070706573296063,0.49643795346098424
m3_full,19521010,dev,0.7363042789525188,0.4506241669875009,0.5586771738040205,0.20751940633784138,0.8774862991436944,0.2961703529217942,0.7038296470782058,0.6680199541765429,0.5102572491734736
m3_full,19521010,test,0.7811401755834638,0.4618519667110176,0.5797150993290744,0.21384909529974772,0.8576553176592591,0.2967173555078604,0.7032826444921395,0.6733315878735978,0.504220927569048
no_motion,19521006,dev,0.7556277056277056,0.4271253354440012,0.5444963830185966,0.2142869876415976,0.8674864010215247,0.292991279219783,0.707008720780217,0.5307164011295675,0.5350697911629653
no_motion,19521006,test,0.7609257498672423,0.40864919262136135,0.5310317272753495,0.21559428416158538,0.883132841573399,0.2938654008667352,0.7061345991332648,0.5192854990054107,0.5351666238289835
no_motion,19521007,dev,0.7350416921203585,0.4260407389493806,0.538568063437122,0.219314923535451,0.9058924050034077,0.29783218163847186,0.7021678183615282,0.6260277239097837,0.5243121452189158
no_motion,19521007,test,0.755472684870621,0.4286614138351273,0.5461389180595531,0.2163676169829609,0.8902048549957979,0.29299842644535684,0.7070015735546431,0.6095490424055596,0.5139032784268938
no_motion,19521008,dev,0.766767908629495,0.46762198389963366,0.5795902599037336,0.22921701859687582,0.8769698944939758,0.3120515407353969,0.6879484592646031,0.7727551054312203,0.496498326971569
no_motion,19521008,test,0.7303862958259285,0.4309056866857394,0.5418331551492529,0.22814129957497517,0.9226846074562348,0.30124562996833865,0.6987543700316614,0.7560935023554,0.5015817364527019
no_motion,19521009,dev,0.7140939453874156,0.42812472673484114,0.5344373516420949,0.23824833281722888,0.949085679987918,0.30033362438640265,0.6996663756135973,0.7650356294429729,0.5071298517634947
no_motion,19521009,test,0.7377217093911388,0.43580272903579637,0.5473427203251415,0.2330426803630421,0.9347017705467328,0.28871665903160565,0.7112833409683943,0.7607963802306803,0.4986752245370303
no_motion,19521010,dev,0.7641966081770221,0.45873459858919413,0.5721745344220055,0.20224403685690504,0.8713780001087903,0.2850544153362519,0.7149455846637481,0.6687270895832936,0.5152460997246674
no_motion,19521010,test,0.7564468021602017,0.4485844566156084,0.5623373408057823,0.21627190630906246,0.8742323051326808,0.2908467295365872,0.7091532704634128,0.6806049498497185,0.500814897503382
no_time,19521006,dev,0.7628048010251169,0.4582692425248524,0.5701283749135938,0.20075819397179592,0.8803754836747406,0.2806910066041955,0.7193089933958045,0.654508572781967,0.5368350452171218
no_time,19521006,test,0.7714279819668612,0.46190273228784184,0.5773860578729141,0.20557330507216187,0.8653242237396584,0.2849393824981586,0.7150606175018416,0.685676173159738,0.5111479480143816
