model,split,metric,mean,std,seed19521006,seed19521007,seed19521008
m3_full,dev,f1,0.5642,0.0107,0.5643,0.5748,0.5535
m3_full,dev,precision,0.7480,0.0212,0.7550,0.7648,0.7242
m3_full,dev,recall,0.4541,0.0062,0.4515,0.4612,0.4497
m3_full,dev,wrong_merge_rate,0.2154,0.0166,0.2072,0.2046,0.2345
m3_full,dev,fragmentation_rate,0.8818,0.0333,0.8582,0.8675,0.9199
m3_full,dev,impossible_transition_rate,0.2902,0.0126,0.2870,0.2795,0.3040
m3_full,dev,trajectory_consistency_rate,0.7098,0.0126,0.7130,0.7205,0.6960
m3_full,test,f1,0.5650,0.0141,0.5581,0.5813,0.5558
m3_full,test,precision,0.7520,0.0089,0.7521,0.7608,0.7429
m3_full,test,recall,0.4532,0.0156,0.4439,0.4712,0.4445
m3_full,test,wrong_merge_rate,0.2175,0.0082,0.2206,0.2082,0.2237
m3_full,test,fragmentation_rate,0.8797,0.0326,0.8816,0.8461,0.9113
m3_full,test,impossible_transition_rate,0.2915,0.0079,0.2889,0.2851,0.3003
m3_full,test,trajectory_consistency_rate,0.7085,0.0079,0.7111,0.7149,0.6997
no_motion,dev,f1,0.5542,0.0222,0.5445,0.5386,0.5796
no_motion,dev,precision,0.7525,0.0161,0.7556,0.7350,0.7668
no_motion,dev,recall,0.4403,0.0237,0.4271,0.4260,0.4676
no_motion,dev,wrong_merge_rate,0.2209,0.0076,0.2143,0.2193,0.2292
no_motion,dev,fragmentation_rate,0.8834,0.0200,0.8675,0.9059,0.8770
no_motion,dev,impossible_transition_rate,0.3010,0.0099,0.2930,0.2978,0.3121
no_motion,dev,trajectory_consistency_rate,0.6990,0.0099,0.7070,0.7022,0.6879
no_motion,test,f1,0.5397,0.0078,0.5310,0.5461,0.5418
no_motion,test,precision,0.7489,0.0163,0.7609,0.7555,0.7304
no_motion,test,recall,0.4227,0.0123,0.4086,0.4287,0.4309
no_motion,test,wrong_merge_rate,0.2200,0.0070,0.2156,0.2164,0.2281
no_motion,test,fragmentation_rate,0.8987,0.0211,0.8831,0.8902,0.9227
no_motion,test,impossible_transition_rate,0.2960,0.0045,0.2939,0.2930,0.3012
no_motion,test,trajectory_consistency_rate,0.7040,0.0045,0.7061,0.7070,0.6988
term_gating,dev,f1,0.5571,0.0476,0.5094,0.5575,0.6046
term_gating,dev,precision,0.7636,0.0129,0.7503,0.7646,0.7760
term_gating,dev,recall,0.4412,0.0550,0.3867,0.4401,0.4967
term_gating,dev,wrong_merge_rate,0.2072,0.0086,0.1988,0.2159,0.2070
term_gating,dev,fragmentation_rate,0.8799,0.0455,0.9211,0.8877,0.8311
term_gating,dev,impossible_transition_rate,0.2877,0.0067,0.2803,0.2892,0.2935
term_gating,dev,trajectory_consistency_rate,0.7123,0.0067,0.7197,0.7108,0.7065
term_gating,test,f1,0.5576,0.0267,0.5282,0.5646,0.5801
term_gating,test,precision,0.7563,0.0040,0.7574,0.7597,0.7518
term_gating,test,recall,0.4427,0.0339,0.4058,0.4497,0.4726
term_gating,test,wrong_merge_rate,0.2085,0.0206,0.1864,0.2122,0.2271
term_gating,test,fragmentation_rate,0.8656,0.0120,0.8741,0.8707,0.8519
term_gating,test,impossible_transition_rate,0.2890,0.0191,0.2711,0.2867,0.3092
term_gating,test,trajectory_consistency_rate,0.7110,0.0191,0.7289,0.7133,0.6908
