model,seed,split,f1,precision,recall,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate
m3_full,19521006,dev,0.5642686368212882,0.7549750558292921,0.4514534497760722,0.20715312306749703,0.8581710884101484,0.2869903978643037,0.7130096021356963
m3_full,19521006,test,0.5580556560323449,0.7521388184766573,0.4438535281725389,0.2206179412787549,0.8815516373174895,0.2889229328611941,0.711077067138806
m3_full,19521007,dev,0.5748229303653086,0.7647754240112642,0.4612414460000467,0.20462568234017506,0.8674616934410789,0.2795375996762763,0.7204624003237239
m3_full,19521007,test,0.5812985468377808,0.7608210497344333,0.4711848665855726,0.2082314053394995,0.8461340507702937,0.28513856224767326,0.7148614377523267
m3_full,19521008,dev,0.5535190117811023,0.724152762520918,0.44968256377889765,0.23453513578676108,0.9198577665125321,0.3040468985107745,0.6959531014892256
m3_full,19521008,test,0.5557601372717508,0.7429259798182029,0.44448855164069284,0.22367766315463308,0.9113274857426389,0.3003256790549442,0.6996743209450558
m3_full,19521009,dev,0.5491734373617605,0.7365687463887726,0.4386230535265499,0.22366139295859178,0.9236784785493951,0.29425634620291063,0.7057436537970895
m3_full,19521009,test,0.5555590950219844,0.7419316617830579,0.4447312805558545,0.23113219311435645,0.8892346184006186,0.3002698199990776,0.6997301800009225
m3_full,19521010,dev,0.5586771738040205,0.7363042789525188,0.4506241669875009,0.20751940633784138,0.8774862991436944,0.2961703529217942,0.7038296470782058
m3_full,19521010,test,0.5797150993290744,0.7811401755834638,0.4618519667110176,0.21384909529974772,0.8576553176592591,0.2967173555078604,0.7032826444921395
no_motion,19521006,dev,0.5444963830185966,0.7556277056277056,0.4271253354440012,0.2142869876415976,0.8674864010215247,0.292991279219783,0.707008720780217
no_motion,19521006,test,0.5310317272753495,0.7609257498672423,0.40864919262136135,0.21559428416158538,0.883132841573399,0.2938654008667352,0.7061345991332648
no_motion,19521007,dev,0.538568063437122,0.7350416921203585,0.4260407389493806,0.219314923535451,0.9058924050034077,0.29783218163847186,0.7021678183615282
no_motion,19521007,test,0.5461389180595531,0.755472684870621,0.4286614138351273,0.2163676169829609,0.8902048549957979,0.29299842644535684,0.7070015735546431
no_motion,19521008,dev,0.5795902599037336,0.766767908629495,0.46762198389963366,0.22921701859687582,0.8769698944939758,0.3120515407353969,0.6879484592646031
no_motion,19521008,test,0.5418331551492529,0.7303862958259285,0.4309056866857394,0.22814129957497517,0.9226846074562348,0.30124562996833865,0.6987543700316614
no_motion,19521009,dev,0.5344373516420949,0.7140939453874156,0.42812472673484114,0.23824833281722888,0.949085679987918,0.30033362438640265,0.6996663756135973
no_motion,19521009,test,0.5473427203251415,0.7377217093911388,0.43580272903579637,0.2330426803630421,0.9347017705467328,0.28871665903160565,0.7112833409683943
no_motion,19521010,dev,0.5721745344220055,0.7641966081770221,0.45873459858919413,0.20224403685690504,0.8713780001087903,0.2850544153362519,0.7149455846637481
no_motion,19521010,test,0.5623373408057823,0.7564468021602017,0.4485844566156084,0.21627190630906246,0.8742323051326808,0.2908467295365872,0.7091532704634128
term_gating,19521006,dev,0.5094109540032398,0.7502595585823973,0.3866751399367791,0.19876425651164645,0.9210575782151693,0.28034172093509674,0.7196582790649032
term_gating,19521006,test,0.5281654246862643,0.7573680595264375,0.4058369664735166,0.18635945998904424,0.8740940961298959,0.27109881818333753,0.7289011818166625
term_gating,19521007,dev,0.5574545809722505,0.7646184945619048,0.44011087821976536,0.21586854769634214,0.8876997494482843,0.2892285234674749,0.7107714765325251
term_gating,19521007,test,0.56459372829947,0.7597087224109867,0.4496635023273604,0.21222442418263568,0.8707060233699859,0.2867476572648874,0.7132523427351126
term_gating,19521008,dev,0.6045778102648269,0.7760239908261749,0.49666949607708183,0.2070132359036677,0.8310732843237155,0.29352507166837816,0.706474928331622
term_gating,19521008,test,0.5801308378898701,0.7518381070873038,0.47262640090446006,0.22705151740107624,0.8518782517410539,0.3091593365513689,0.690840663448631
term_gating,19521009,dev,0.5953383118866095,0.7918597445324274,0.47801753103036554,0.2085249260169508,0.8467911454995627,0.30445171985077263,0.6955482801492273
term_gating,19521009,test,0.5772061745972594,0.7750657565637387,0.4606955536644516,0.22219893650715117,0.8891883607001453,0.3076149061277461,0.692385093872254
term_gating,19521010,dev,0.43985928888150894,0.7250866203386255,0.3169878659245715,0.2120388335896282,0.8924343452542017,0.2888962990956051,0.7111037009043949
term_gating,19521010,test,0.444002574633276,0.7487816131474484,0.3168702573458771,0.21177839752673946,0.89697214677271,0.29478552170786765,0.7052144782921324
