model,split,metric,mean,std,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
m3_full,dev,f1,0.5601,0.0100,0.5643,0.5748,0.5535,0.5492,0.5587
m3_full,dev,precision,0.7434,0.0163,0.7550,0.7648,0.7242,0.7366,0.7363
m3_full,dev,recall,0.4503,0.0080,0.4515,0.4612,0.4497,0.4386,0.4506
m3_full,dev,wrong_merge_rate,0.2155,0.0130,0.2072,0.2046,0.2345,0.2237,0.2075
m3_full,dev,fragmentation_rate,0.8893,0.0304,0.8582,0.8675,0.9199,0.9237,0.8775
m3_full,dev,impossible_transition_rate,0.2922,0.0093,0.2870,0.2795,0.3040,0.2943,0.2962
m3_full,dev,trajectory_consistency_rate,0.7078,0.0093,0.7130,0.7205,0.6960,0.7057,0.7038
m3_full,test,f1,0.5661,0.0132,0.5581,0.5813,0.5558,0.5556,0.5797
m3_full,test,precision,0.7558,0.0161,0.7521,0.7608,0.7429,0.7419,0.7811
m3_full,test,recall,0.4532,0.0126,0.4439,0.4712,0.4445,0.4447,0.4619
m3_full,test,wrong_merge_rate,0.2195,0.0088,0.2206,0.2082,0.2237,0.2311,0.2138
m3_full,test,fragmentation_rate,0.8772,0.0259,0.8816,0.8461,0.9113,0.8892,0.8577
m3_full,test,impossible_transition_rate,0.2943,0.0069,0.2889,0.2851,0.3003,0.3003,0.2967
m3_full,test,trajectory_consistency_rate,0.7057,0.0069,0.7111,0.7149,0.6997,0.6997,0.7033
no_motion,dev,f1,0.5539,0.0206,0.5445,0.5386,0.5796,0.5344,0.5722
no_motion,dev,precision,0.7471,0.0223,0.7556,0.7350,0.7668,0.7141,0.7642
no_motion,dev,recall,0.4415,0.0200,0.4271,0.4260,0.4676,0.4281,0.4587
no_motion,dev,wrong_merge_rate,0.2207,0.0138,0.2143,0.2193,0.2292,0.2382,0.2022
no_motion,dev,fragmentation_rate,0.8942,0.0342,0.8675,0.9059,0.8770,0.9491,0.8714
no_motion,dev,impossible_transition_rate,0.2977,0.0099,0.2930,0.2978,0.3121,0.3003,0.2851
no_motion,dev,trajectory_consistency_rate,0.7023,0.0099,0.7070,0.7022,0.6879,0.6997,0.7149
no_motion,test,f1,0.5457,0.0113,0.5310,0.5461,0.5418,0.5473,0.5623
no_motion,test,precision,0.7482,0.0133,0.7609,0.7555,0.7304,0.7377,0.7564
no_motion,test,recall,0.4305,0.0145,0.4086,0.4287,0.4309,0.4358,0.4486
no_motion,test,wrong_merge_rate,0.2219,0.0081,0.2156,0.2164,0.2281,0.2330,0.2163
no_motion,test,fragmentation_rate,0.9010,0.0263,0.8831,0.8902,0.9227,0.9347,0.8742
no_motion,test,impossible_transition_rate,0.2935,0.0048,0.2939,0.2930,0.3012,0.2887,0.2908
no_motion,test,trajectory_consistency_rate,0.7065,0.0048,0.7061,0.7070,0.6988,0.7113,0.7092
term_gating,dev,f1,0.5413,0.0680,0.5094,0.5575,0.6046,0.5953,0.4399
term_gating,dev,precision,0.7616,0.0255,0.7503,0.7646,0.7760,0.7919,0.7251
term_gating,dev,recall,0.4237,0.0730,0.3867,0.4401,0.4967,0.4780,0.3170
term_gating,dev,wrong_merge_rate,0.2084,0.0064,0.1988,0.2159,0.2070,0.2085,0.2120
term_gating,dev,fragmentation_rate,0.8758,0.0364,0.9211,0.8877,0.8311,0.8468,0.8924
term_gating,dev,impossible_transition_rate,0.2913,0.0088,0.2803,0.2892,0.2935,0.3045,0.2889
term_gating,dev,trajectory_consistency_rate,0.7087,0.0088,0.7197,0.7108,0.7065,0.6955,0.7111
term_gating,test,f1,0.5388,0.0569,0.5282,0.5646,0.5801,0.5772,0.4440
term_gating,test,precision,0.7586,0.0102,0.7574,0.7597,0.7518,0.7751,0.7488
term_gating,test,recall,0.4211,0.0635,0.4058,0.4497,0.4726,0.4607,0.3169
term_gating,test,wrong_merge_rate,0.2119,0.0157,0.1864,0.2122,0.2271,0.2222,0.2118
term_gating,test,fragmentation_rate,0.8766,0.0175,0.8741,0.8707,0.8519,0.8892,0.8970
term_gating,test,impossible_transition_rate,0.2939,0.0158,0.2711,0.2867,0.3092,0.3076,0.2948
term_gating,test,trajectory_consistency_rate,0.7061,0.0158,0.7289,0.7133,0.6908,0.6924,0.7052
