variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df0,p_two_tailed,amb160_mean_delta,amb160_sign_consistent,seed19521006
no_motion,dev,precision,+0.0369,+,YES,n/a,n/a,+0.0038,no,+0.0369
no_motion,dev,recall,+0.0359,+,YES,n/a,n/a,-0.0088,no,+0.0359
no_motion,dev,f1,+0.0478,+,YES,n/a,n/a,-0.0062,no,+0.0478
no_motion,dev,wrong_merge_rate,+0.0020,+,YES,n/a,n/a,+0.0052,no,+0.0020
no_motion,dev,fragmentation_rate,+0.0080,+,YES,n/a,n/a,+0.0048,no,+0.0080
no_motion,dev,impossible_transition_rate,-0.0126,-,YES,n/a,n/a,+0.0055,no,-0.0126
no_motion,dev,trajectory_consistency_rate,+0.0126,+,YES,n/a,n/a,-0.0055,no,+0.0126
no_motion,dev,dangling_precision,+0.0204,+,YES,n/a,n/a,-0.0045,no,+0.0204
no_motion,dev,dangling_recall,-0.0541,-,YES,n/a,n/a,-0.0055,no,-0.0541
no_motion,test,precision,+0.0268,+,YES,n/a,n/a,-0.0076,no,+0.0268
no_motion,test,recall,+0.0348,+,YES,n/a,n/a,-0.0227,YES,+0.0348
no_motion,test,f1,+0.0449,+,YES,n/a,n/a,-0.0203,YES,+0.0449
no_motion,test,wrong_merge_rate,-0.0257,-,YES,n/a,n/a,+0.0024,no,-0.0257
no_motion,test,fragmentation_rate,-0.0041,-,YES,n/a,n/a,+0.0238,YES,-0.0041
no_motion,test,impossible_transition_rate,-0.0288,-,YES,n/a,n/a,-0.0007,no,-0.0288
no_motion,test,trajectory_consistency_rate,+0.0288,+,YES,n/a,n/a,+0.0007,no,+0.0288
no_motion,test,dangling_precision,+0.0265,+,YES,n/a,n/a,-0.0388,no,+0.0265
no_motion,test,dangling_recall,-0.0240,-,YES,n/a,n/a,+0.0080,no,-0.0240
no_time,dev,precision,+0.0084,+,YES,n/a,n/a,+0.0123,no,+0.0084
no_time,dev,recall,-0.0130,-,YES,n/a,n/a,+0.0029,no,-0.0130
no_time,dev,f1,-0.0180,-,YES,n/a,n/a,+0.0053,no,-0.0180
