analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df0,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006
primary,no_motion,dev,precision,+0.0369,+,YES,n/a,n/a,n/a,n_pred_matches,31.1,26.8,+0.0038,no,+0.0369
primary,no_time,dev,precision,+0.0084,+,YES,n/a,n/a,n/a,n_pred_matches,25.0,26.8,+0.0123,no,+0.0084
primary,no_state,dev,precision,-0.0541,-,YES,n/a,n/a,n/a,n_pred_matches,22.9,26.8,+0.0305,YES,-0.0541
primary,no_rel,dev,precision,-0.0250,-,YES,n/a,n/a,n/a,n_pred_matches,30.0,26.8,+0.0167,no,-0.0250
primary,no_src,dev,precision,+0.0154,+,YES,n/a,n/a,n/a,n_pred_matches,30.1,26.8,+0.0148,YES,+0.0154
primary,no_motion,dev,recall,+0.0359,+,YES,n/a,n/a,n/a,n_gold_matches,109.9,109.9,-0.0088,no,+0.0359
primary,no_time,dev,recall,-0.0130,-,YES,n/a,n/a,n/a,n_gold_matches,109.9,109.9,+0.0029,no,-0.0130
primary,no_state,dev,recall,-0.0408,-,YES,n/a,n/a,n/a,n_gold_matches,109.9,109.9,-0.0005,no,-0.0408
primary,no_rel,dev,recall,+0.0118,+,YES,n/a,n/a,n/a,n_gold_matches,109.9,109.9,-0.0033,no,+0.0118
primary,no_src,dev,recall,+0.0230,+,YES,n/a,n/a,n/a,n_gold_matches,109.9,109.9,-0.0074,no,+0.0230
primary,no_motion,dev,f1,+0.0478,+,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0062,no,+0.0478
primary,no_time,dev,f1,-0.0180,-,YES,n/a,n/a,n/a,—,n/a,n/a,+0.0053,no,-0.0180
primary,no_state,dev,f1,-0.0590,-,YES,n/a,n/a,n/a,—,n/a,n/a,+0.0074,no,-0.0590
primary,no_rel,dev,f1,+0.0120,+,YES,n/a,n/a,n/a,—,n/a,n/a,+0.0014,no,+0.0120
primary,no_src,dev,f1,+0.0295,+,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0018,no,+0.0295
