analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
primary,no_motion,dev,precision,+0.0643,+,YES,3.00,0.0398,0.1988,n_pred_matches,18.4,25.8,+0.0038,no,+0.0369,+0.1102,+0.0399,+0.0139,+0.1205
primary,no_time,dev,precision,-0.0053,-,no,-0.22,0.8388,1.0000,n_pred_matches,21.2,25.8,+0.0123,no,+0.0084,-0.0384,-0.0547,-0.0244,+0.0827
primary,no_state,dev,precision,-0.0024,-,no,-0.09,0.9358,1.0000,n_pred_matches,21.7,25.8,+0.0305,YES,-0.0541,-0.0221,-0.0233,-0.0166,+0.1042
primary,no_rel,dev,precision,+0.0112,+,no,0.40,0.7101,1.0000,n_pred_matches,16.1,25.8,+0.0167,no,-0.0250,-0.0142,+0.1149,-0.0416,+0.0217
primary,no_src,dev,precision,+0.0039,+,no,0.17,0.8753,1.0000,n_pred_matches,21.5,25.8,+0.0148,YES,+0.0154,+0.0191,-0.0854,+0.0206,+0.0496
primary,no_motion,dev,recall,-0.0394,-,no,-1.84,0.1390,0.4778,n_gold_matches,109.9,109.9,-0.0088,no,+0.0359,-0.0463,-0.0338,-0.0943,-0.0582
primary,no_time,dev,recall,-0.0313,-,no,-1.19,0.2990,0.5980,n_gold_matches,109.9,109.9,+0.0029,no,-0.0130,+0.0460,-0.0784,-0.0104,-0.1008
primary,no_state,dev,recall,-0.0292,-,no,-1.16,0.3117,0.5980,n_gold_matches,109.9,109.9,-0.0005,no,-0.0408,+0.0412,-0.1032,+0.0106,-0.0540
primary,no_rel,dev,recall,-0.0653,-,no,-2.17,0.0956,0.4778,n_gold_matches,109.9,109.9,-0.0033,no,+0.0118,-0.0322,-0.1702,-0.0690,-0.0667
primary,no_src,dev,recall,-0.0295,-,no,-2.10,0.1036,0.4778,n_gold_matches,109.9,109.9,-0.0074,no,+0.0230,-0.0511,-0.0267,-0.0379,-0.0546
primary,no_motion,dev,f1,-0.0559,-,no,-1.88,0.1337,0.4222,—,n/a,n/a,-0.0062,no,+0.0478,-0.0746,-0.0383,-0.1302,-0.0841
primary,no_time,dev,f1,-0.0456,-,no,-1.18,0.3044,0.6088,—,n/a,n/a,+0.0053,no,-0.0180,+0.0657,-0.1036,-0.0146,-0.1575
primary,no_state,dev,f1,-0.0407,-,no,-1.17,0.3060,0.6088,—,n/a,n/a,+0.0074,no,-0.0590,+0.0600,-0.1376,+0.0118,-0.0785
primary,no_rel,dev,f1,-0.0955,-,no,-2.28,0.0844,0.4222,—,n/a,n/a,+0.0014,no,+0.0120,-0.0543,-0.2429,-0.0944,-0.0980
primary,no_src,dev,f1,-0.0445,-,no,-2.19,0.0936,0.4222,—,n/a,n/a,-0.0018,no,+0.0295,-0.0840,-0.0406,-0.0485,-0.0791
primary,no_motion,dev,wrong_merge_rate,-0.0461,-,no,-2.60,0.0602,0.3008,n_pred_identities,58.3,72.3,+0.0052,no,+0.0020,-0.0440,-0.0393,-0.0407,-0.1085
primary,no_time,dev,wrong_merge_rate,-0.0132,-,no,-0.34,0.7499,1.0000,n_pred_identities,58.7,72.3,+0.0002,no,+0.0158,+0.0625,+0.0090,+0.0095,-0.1630
primary,no_state,dev,wrong_merge_rate,+0.0025,+,no,0.15,0.8910,1.0000,n_pred_identities,64.3,72.3,-0.0121,no,+0.0345,+0.0481,-0.0397,+0.0009,-0.0312
primary,no_rel,dev,wrong_merge_rate,-0.0122,-,no,-0.69,0.5263,1.0000,n_pred_identities,44.2,72.3,+0.0020,no,+0.0493,-0.0076,-0.0593,-0.0181,-0.0254
primary,no_src,dev,wrong_merge_rate,-0.0124,-,no,-0.63,0.5601,1.0000,n_pred_identities,60.1,72.3,-0.0100,no,+0.0320,-0.0321,+0.0278,-0.0168,-0.0729
primary,no_motion,dev,fragmentation_rate,-0.0115,-,no,-1.55,0.1958,0.9789,n_gold_matches,109.9,109.9,+0.0048,no,+0.0080,+0.0036,-0.0259,-0.0153,-0.0279
primary,no_time,dev,fragmentation_rate,-0.0047,-,no,-0.56,0.6064,1.0000,n_gold_matches,109.9,109.9,-0.0076,no,-0.0081,+0.0144,+0.0154,-0.0195,-0.0258
primary,no_state,dev,fragmentation_rate,+0.0073,+,no,0.50,0.6444,1.0000,n_gold_matches,109.9,109.9,-0.0218,no,+0.0487,+0.0017,+0.0330,-0.0212,-0.0257
primary,no_rel,dev,fragmentation_rate,-0.0038,-,no,-0.49,0.6525,1.0000,n_gold_matches,109.9,109.9,-0.0140,no,+0.0239,-0.0018,-0.0243,-0.0084,-0.0086
primary,no_src,dev,fragmentation_rate,+0.0047,+,no,0.36,0.7336,1.0000,n_gold_matches,109.9,109.9,-0.0075,no,+0.0100,+0.0023,+0.0504,-0.0137,-0.0254
primary,no_motion,dev,impossible_transition_rate,-0.0320,-,YES,-2.86,0.0462,0.2308,n_transitions,829.8,1093.3,+0.0055,no,-0.0126,-0.0340,-0.0102,-0.0305,-0.0726
