model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall
m3_full,19521006,dev,0.7054561778908276,0.17455851891043203,0.2792092648761782,0.18148716327774525,0.9774495447965039,0.26940134891353235,0.7305986510864676,0.26020642190087867,0.7849280082846534
m3_full,19521006,test,0.6994438801146453,0.17506666519052907,0.27821154501615597,0.2037714436307598,0.9775294652908928,0.27606662827384754,0.7239333717261525,0.25406153325074576,0.7421917396589889
no_motion,19521006,dev,0.742387735850401,0.21043421234195514,0.3269636283140399,0.1835071802512822,0.9854676207064035,0.256773119086097,0.743226880913903,0.2805952653692007,0.7308492923676102
no_motion,19521006,test,0.7262931264174626,0.20990009572097396,0.3230629160076577,0.17804244555016618,0.9734080622310309,0.24726008988404413,0.752739910115956,0.28052074865889415,0.7181651449285339
no_time,19521006,dev,0.7138142424609876,0.16150978277567374,0.2612013213044191,0.1973087665241866,0.9693422638993154,0.260074220027315,0.7399257799726849,0.2513287370428819,0.793670208544711
no_time,19521006,test,0.7311960008932371,0.16181906711456306,0.2628694719832462,0.18460333645044813,0.955784629405538,0.25128251672428625,0.7487174832757139,0.24848996469893583,0.7852212112152657
no_state,19521006,dev,0.6513648377312592,0.13378108556276272,0.22023021845878535,0.2159852859943041,1.0261666258314468,0.28001333041441384,0.7199866695855862,0.2446196096472517,0.7900072244031408
no_state,19521006,test,0.6565701547306898,0.12946531846057263,0.21486672806202295,0.21847581988544526,1.0071651079065487,0.2824853588092303,0.7175146411907698,0.2373957277942971,0.779938652460372
no_rel,19521006,dev,0.6804623558017374,0.18635947146069787,0.29120384467676214,0.23075323861545205,1.001392052012712,0.2941474960954272,0.7058525039045729,0.2743070788393141,0.760649249892026
no_rel,19521006,test,0.7122291947176435,0.19204006415733138,0.29980382799677036,0.19837985404419423,0.9701046802642443,0.2708152129693775,0.7291847870306225,0.26394206615295096,0.7319184070646647
no_src,19521006,dev,0.7208951187642447,0.19757603614548536,0.30872676381967634,0.21344333379503344,0.9874887889477036,0.2615163810555445,0.7384836189444554,0.26641994217041726,0.7624507895178136
no_src,19521006,test,0.7072138943016005,0.1786340904760208,0.2831105936099026,0.19292976179473642,0.9828236310722673,0.25445426640741364,0.7455457335925862,0.24891598469555706,0.7237931392378468
