analysis,model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall,n_gold_dangling,n_gold_matches,n_pred_dangling,n_pred_identities,n_pred_matches,n_transitions
primary,m3_full,19521006,dev,0.7054561778908276,0.17455851891043203,0.2792092648761782,0.18148716327774525,0.9774495447965039,0.26940134891353235,0.7305986510864676,0.26020642190087867,0.7849280082846534,51.083333333333336,109.91666666666667,154.66666666666666,70.66666666666667,26.833333333333332,1091.8333333333333
primary,m3_full,19521006,test,0.6994438801146453,0.17506666519052907,0.27821154501615597,0.2037714436307598,0.9775294652908928,0.27606662827384754,0.7239333717261525,0.25406153325074576,0.7421917396589889,52.15384615384615,108.84615384615384,153.46153846153845,67.92307692307692,27.692307692307693,1095.923076923077
primary,m3_full,19521007,dev,0.7047508756293587,0.09808388731098727,0.17050970648784322,0.17691835770351558,0.9757214872218473,0.25090527235880367,0.7490947276411964,0.2232610936028556,0.8696905353118498,51.083333333333336,109.91666666666667,200.5,44.416666666666664,14.75,659.75
primary,m3_full,19521007,test,0.6833750666258407,0.10488085518031937,0.17996811300704618,0.13953914963343825,0.9505714524843536,0.24172471497092818,0.7582752850290718,0.2176524019784431,0.8305523474839464,52.15384615384615,108.84615384615384,199.92307692307693,43.84615384615385,15.692307692307692,655.3846153846154
primary,m3_full,19521008,dev,0.708849348481769,0.22053125326237857,0.33536599913146525,0.185840269620798,0.9982048553122221,0.25336750610363207,0.7466324938963679,0.30174141504642843,0.6770759268108341,51.083333333333336,109.91666666666667,114.83333333333333,97.58333333333333,34.25,1463.25
primary,m3_full,19521008,test,0.7032367260649754,0.21158097075086088,0.3240475463398107,0.17300658520152695,0.9782856353844593,0.24329545399826388,0.7567045460017362,0.2888643842709971,0.6718429028882251,52.15384615384615,108.84615384615384,123.07692307692308,91.6923076923077,32.69230769230769,1376.0
primary,m3_full,19521009,dev,0.7605107819921559,0.20098531620371055,0.3164404383681908,0.1554437797350847,0.9712986916747542,0.24387802544684725,0.7561219745531528,0.26966900683415307,0.7290726281038459,51.083333333333336,109.91666666666667,138.0,86.41666666666667,29.25,1242.75
primary,m3_full,19521009,test,0.7384716518337208,0.17912678398902443,0.28647325570855303,0.15071060822601728,0.9607574094098283,0.2316932005915532,0.7683067994084468,0.2664891900586593,0.7476370403254722,52.15384615384615,108.84615384615384,147.76923076923077,80.07692307692308,26.53846153846154,1140.6923076923076
primary,m3_full,19521010,dev,0.626754033004033,0.13462615794627553,0.22069577588464284,0.23874038363903294,1.0067868370800686,0.314664019653291,0.685335980346709,0.2427722786158741,0.7793341441662611,51.083333333333336,109.91666666666667,163.75,62.666666666666664,23.666666666666668,1009.0
primary,m3_full,19521010,test,0.6337927108720953,0.12717853901727022,0.21062548125559502,0.23042847242772602,1.0256609114759425,0.28690738558077905,0.713092614419221,0.2511109581204914,0.8040110368853532,52.15384615384615,108.84615384615384,168.15384615384616,61.23076923076923,21.923076923076923,955.6923076923077
primary,no_motion,19521006,dev,0.742387735850401,0.21043421234195514,0.3269636283140399,0.1835071802512822,0.9854676207064035,0.256773119086097,0.743226880913903,0.2805952653692007,0.7308492923676102,51.083333333333336,109.91666666666667,133.33333333333334,84.66666666666667,31.083333333333332,1291.1666666666667
primary,no_motion,19521006,test,0.7262931264174626,0.20990009572097396,0.3230629160076577,0.17804244555016618,0.9734080622310309,0.24726008988404413,0.752739910115956,0.28052074865889415,0.7181651449285339,52.15384615384615,108.84615384615384,135.84615384615384,82.07692307692308,31.23076923076923,1257.923076923077
primary,no_motion,19521007,dev,0.8149877899877899,0.051755651532437795,0.09595940955642325,0.13290665996371967,0.9792809320421049,0.2169046235386908,0.7830953764613091,0.20601773964005166,0.9276248052213703,51.083333333333336,109.91666666666667,231.16666666666666,27.583333333333332,7.25,369.9166666666667
primary,no_motion,19521007,test,0.7713129630550445,0.060083415584577825,0.10772039599303278,0.1416308845775513,0.9840752889970982,0.2302362262572033,0.7697637737427967,0.21200865610016986,0.9140875308631448,52.15384615384615,108.84615384615384,225.76923076923077,28.076923076923077,9.076923076923077,412.6923076923077
primary,no_motion,19521008,dev,0.7487158306397125,0.18668628602744433,0.29711376288795943,0.14658798707200635,0.9723124767237414,0.24321633900367876,0.7567836609963212,0.25845375143512456,0.7213475087720443,51.083333333333336,109.91666666666667,143.75,82.91666666666667,27.333333333333332,1188.75
primary,no_motion,19521008,test,0.7347262755714526,0.18835893838768666,0.295592901808302,0.15821698223252517,0.9732981206556955,0.2408657793668885,0.7591342206331115,0.27565782980492803,0.7348942150133639,52.15384615384615,108.84615384615384,141.84615384615384,81.92307692307692,28.0,1198.076923076923
primary,no_motion,19521009,dev,0.7743922564002655,0.10667393143734234,0.1862386532576059,0.11474069180362223,0.95603657488083,0.21338048693536926,0.7866195130646307,0.21707197202536777,0.8103258500813048,51.083333333333336,109.91666666666667,190.58333333333334,56.833333333333336,15.083333333333334,746.5
primary,no_motion,19521009,test,0.8094425684923424,0.08526669371695907,0.15316172670600853,0.09549863973885572,0.98051923476408,0.19609874303690927,0.8039012569630907,0.21707375116465874,0.8383554406170123,52.15384615384615,108.84615384615384,202.0,50.0,11.538461538461538,628.4615384615385
primary,no_motion,19521010,dev,0.7472238957436326,0.07646925652665933,0.13660737398967293,0.13019373551423638,0.9789307078201542,0.2420361498022413,0.7579638501977586,0.2082816926123701,0.8617873645014105,51.083333333333336,109.91666666666667,211.66666666666666,39.666666666666664,11.416666666666666,552.8333333333334
primary,no_motion,19521010,test,0.7134470356189814,0.05962181059028339,0.1078831003123135,0.16981774150645884,0.9904996395293744,0.24547943071112555,0.7545205692888745,0.21572641920060662,0.9073308411461329,52.15384615384615,108.84615384615384,220.53846153846155,33.46153846153846,8.923076923076923,459.61538461538464
primary,no_time,19521006,dev,0.7138142424609876,0.16150978277567374,0.2612013213044191,0.1973087665241866,0.9693422638993154,0.260074220027315,0.7399257799726849,0.2513287370428819,0.793670208544711,51.083333333333336,109.91666666666667,162.0,66.41666666666667,25.0,1022.75
primary,no_time,19521006,test,0.7311960008932371,0.16181906711456306,0.2628694719832462,0.18460333645044813,0.955784629405538,0.25128251672428625,0.7487174832757139,0.24848996469893583,0.7852212112152657,52.15384615384615,108.84615384615384,166.84615384615384,63.53846153846154,23.692307692307693,966.4615384615385
primary,no_time,19521007,dev,0.6663107737857863,0.14412345584908184,0.2362290320355052,0.23943097686745604,0.9900764581528515,0.2725894030303357,0.7274105969696644,0.24156498691676523,0.8101002834850322,51.083333333333336,109.91666666666667,171.83333333333334,57.25,23.666666666666668,933.5833333333334
primary,no_time,19521007,test,0.6910963049646891,0.1335164650050778,0.22227247762921193,0.1553619182494961,0.9655255501821407,0.2671824898648143,0.7328175101351857,0.22792879866449803,0.7750887330609262,52.15384615384615,108.84615384615384,177.84615384615384,54.69230769230769,21.307692307692307,865.3076923076923
primary,no_time,19521008,dev,0.6541938173758294,0.14212191720594977,0.23174264318279436,0.19483550211339673,1.0135619367871185,0.2454991568893794,0.7545008431106205,0.25714878247577616,0.7630747159719405,51.083333333333336,109.91666666666667,152.08333333333334,77.08333333333333,24.083333333333332,1111.25
primary,no_time,19521008,test,0.7130940215179344,0.14837958392950512,0.2431987260582321,0.15375915110249977,0.9589345266055513,0.22546222849471087,0.774537771505289,0.24568197786267362,0.7722648078519806,52.15384615384615,108.84615384615384,165.84615384615384,67.38461538461539,22.615384615384617,972.6153846153846
primary,no_time,19521009,dev,0.7361037237856641,0.19057737180078185,0.30188253259348113,0.16494768920570077,0.9517739691459273,0.24401059552840465,0.7559894044715953,0.2601525740914485,0.7663490641079834,51.083333333333336,109.91666666666667,150.5,75.33333333333333,28.5,1128.8333333333333
primary,no_time,19521009,test,0.7418569432548352,0.17562508676792057,0.28280195318710427,0.17272408684526994,0.9661215599891768,0.2345575127245093,0.7654424872754907,0.2507305756609369,0.7424528001044622,52.15384615384615,108.84615384615384,156.15384615384616,71.23076923076923,25.846153846153847,1065.6923076923076
primary,no_time,19521010,dev,0.7094907407407408,0.03386809927738968,0.06322042832081559,0.07574864881850175,0.9810112900668552,0.19999047805250417,0.8000095219474957,0.1981357384991488,0.9528789185728407,51.083333333333336,109.91666666666667,245.91666666666666,17.416666666666668,4.833333333333333,232.58333333333334
primary,no_time,19521010,test,0.5927655677655678,0.027202376785539235,0.05144390980198416,0.13363943748559134,0.9968869527487573,0.22604997264477025,0.7739500273552298,0.20683047969396418,0.9643889078437966,52.15384615384615,108.84615384615384,244.3846153846154,18.46153846153846,4.3076923076923075,236.15384615384616
primary,no_state,19521006,dev,0.6513648377312592,0.13378108556276272,0.22023021845878535,0.2159852859943041,1.0261666258314468,0.28001333041441384,0.7199866695855862,0.2446196096472517,0.7900072244031408,51.083333333333336,109.91666666666667,166.08333333333334,63.75,22.916666666666668,984.5833333333334
primary,no_state,19521006,test,0.6565701547306898,0.12946531846057263,0.21486672806202295,0.21847581988544526,1.0071651079065487,0.2824853588092303,0.7175146411907698,0.2373957277942971,0.779938652460372,52.15384615384615,108.84615384615384,172.3846153846154,57.84615384615385,21.53846153846154,916.7692307692307
primary,no_state,19521007,dev,0.6826946922020843,0.13933382953054682,0.23046640012621408,0.22502303201288962,0.9774260341164718,0.27556862261131504,0.7244313773886849,0.2406335836644723,0.8063090763507247,51.083333333333336,109.91666666666667,171.16666666666666,57.833333333333336,22.583333333333332,939.6666666666666
primary,no_state,19521007,test,0.7078972560327075,0.12352319415676685,0.2065902226372742,0.1913507889403472,0.9756899498226381,0.2636720534663502,0.7363279465336497,0.22964449586521452,0.7814775005278606,52.15384615384615,108.84615384615384,179.0,54.07692307692308,19.76923076923077,854.3846153846154
primary,no_state,19521008,dev,0.6855957306352995,0.11729386265100328,0.1977798773246372,0.14616519377405637,1.0311620731503581,0.21616306960581103,0.7838369303941889,0.24819473056921684,0.789584851661735,51.083333333333336,109.91666666666667,164.08333333333334,75.08333333333333,18.916666666666668,993.25
primary,no_state,19521008,test,0.6783003984319773,0.13057630792241096,0.21755632991717497,0.13526634464603327,0.9991898157860886,0.21276104640227042,0.7872389535977297,0.24657030544463449,0.7754760084494874,52.15384615384615,108.84615384615384,165.6153846153846,70.53846153846153,20.692307692307693,971.7692307692307
primary,no_state,19521009,dev,0.7439264690900754,0.21158130956566112,0.328250851768531,0.15637270056350153,0.950115351343296,0.23901226461114555,0.7609877353888543,0.2537635904935655,0.6780531492746774,51.083333333333336,109.91666666666667,136.0,86.58333333333333,31.25,1262.5833333333333
primary,no_state,19521009,test,0.785055492916523,0.18868933055461604,0.29992860663309984,0.1295734216104128,0.9535677069115134,0.21885637935107594,0.7811436206489242,0.2540054978341048,0.7283396733051897,52.15384615384615,108.84615384615384,151.92307692307693,78.46153846153847,26.307692307692307,1100.7692307692307
primary,no_state,19521010,dev,0.7309815140006904,0.08057678709580073,0.14220131210870135,0.2075445444740397,0.981132659734049,0.2549169113909145,0.7450830886090855,0.2126758999577608,0.8773025669938909,51.083333333333336,109.91666666666667,210.58333333333334,38.083333333333336,12.666666666666666,565.25
primary,no_state,19521010,test,0.6418485487680533,0.07498791209412828,0.131186064484401,0.18674583461939595,1.0001412235900786,0.23786835642415613,0.7621316435758438,0.2247503701972883,0.8792502607957859,52.15384615384615,108.84615384615384,205.53846153846155,42.46153846153846,12.538461538461538,600.6153846153846
primary,no_rel,19521006,dev,0.6804623558017374,0.18635947146069787,0.29120384467676214,0.23075323861545205,1.001392052012712,0.2941474960954272,0.7058525039045729,0.2743070788393141,0.760649249892026,51.083333333333336,109.91666666666667,142.16666666666666,74.75,30.0,1212.75
primary,no_rel,19521006,test,0.7122291947176435,0.19204006415733138,0.29980382799677036,0.19837985404419423,0.9701046802642443,0.2708152129693775,0.7291847870306225,0.26394206615295096,0.7319184070646647,52.15384615384615,108.84615384615384,147.84615384615384,71.46153846153847,29.46153846153846,1148.5384615384614
