variant,seed,split,ok,d_precision,d_recall,d_f1
m3_full,19521006,dev,True,0.0,0.0,0.0
m3_full,19521006,test,True,0.0,0.0,0.0
m3_full,19521007,dev,True,0.0,0.0,0.0
m3_full,19521007,test,True,0.0,0.0,0.0
m3_full,19521008,dev,True,0.0,0.0,0.0
m3_full,19521008,test,True,0.0,0.0,0.0
m3_full,19521009,dev,True,0.0,0.0,0.0
m3_full,19521009,test,True,0.0,0.0,0.0
m3_full,19521010,dev,True,0.0,0.0,0.0
m3_full,19521010,test,True,0.0,0.0,0.0
no_motion,19521006,dev,True,0.0,0.0,0.0
no_motion,19521006,test,True,0.0,0.0,0.0
no_motion,19521007,dev,True,0.0,0.0,0.0
no_motion,19521007,test,True,0.0,0.0,0.0
no_motion,19521008,dev,True,0.0,0.0,0.0
no_motion,19521008,test,True,0.0,0.0,0.0
no_motion,19521009,dev,True,0.0,0.0,0.0
no_motion,19521009,test,True,0.0,0.0,0.0
no_motion,19521010,dev,True,0.0,0.0,0.0
no_motion,19521010,test,True,0.0,0.0,0.0
no_time,19521006,dev,True,0.0,0.0,0.0
no_time,19521006,test,True,0.0,0.0,0.0
no_time,19521007,dev,True,0.0,0.0,0.0
no_time,19521007,test,True,0.0,0.0,0.0
no_time,19521008,dev,True,0.0,0.0,0.0
no_time,19521008,test,True,0.0,0.0,0.0
no_time,19521009,dev,True,0.0,0.0,0.0
no_time,19521009,test,True,0.0,0.0,0.0
no_time,19521010,dev,True,0.0,0.0,0.0
no_time,19521010,test,True,0.0,0.0,0.0
no_state,19521006,dev,True,0.0,0.0,0.0
no_state,19521006,test,True,0.0,0.0,0.0
no_state,19521007,dev,True,0.0,0.0,0.0
no_state,19521007,test,True,0.0,0.0,0.0
no_state,19521008,dev,True,0.0,0.0,0.0
no_state,19521008,test,True,0.0,0.0,0.0
no_state,19521009,dev,True,0.0,0.0,0.0
no_state,19521009,test,True,0.0,0.0,0.0
no_state,19521010,dev,True,0.0,0.0,0.0
no_state,19521010,test,True,0.0,0.0,0.0
no_rel,19521006,dev,True,0.0,0.0,0.0
no_rel,19521006,test,True,0.0,0.0,0.0
no_rel,19521007,dev,True,0.0,0.0,0.0
no_rel,19521007,test,True,0.0,0.0,0.0
no_rel,19521008,dev,True,0.0,0.0,0.0
no_rel,19521008,test,True,0.0,0.0,0.0
no_rel,19521009,dev,True,0.0,0.0,0.0
no_rel,19521009,test,True,0.0,0.0,0.0
no_rel,19521010,dev,True,0.0,0.0,0.0
no_rel,19521010,test,True,0.0,0.0,0.0
no_src,19521006,dev,True,0.0,0.0,0.0
no_src,19521006,test,True,0.0,0.0,0.0
no_src,19521007,dev,True,0.0,0.0,0.0
no_src,19521007,test,True,0.0,0.0,0.0
no_src,19521008,dev,True,0.0,0.0,0.0
no_src,19521008,test,True,0.0,0.0,0.0
no_src,19521009,dev,True,0.0,0.0,0.0
no_src,19521009,test,True,0.0,0.0,0.0
no_src,19521010,dev,True,0.0,0.0,0.0
no_src,19521010,test,True,0.0,0.0,0.0
