variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521006,dev,0.0,113,34,0.8529411764705882,0.25663716814159293,0.3945578231292517,0.1111111111111111,0.911504424778761,0.8037383177570093,0.19626168224299065,1391,273,0.28,0.7291666666666666,48,125,99,11,sec_dev_0000
m3_full,19521006,dev,0.7,113,59,0.7966101694915254,0.415929203539823,0.5465116279069766,0.2013888888888889,1.0265486725663717,0.7678729037952339,0.2321270962047661,2266,526,0.7878787878787878,0.5416666666666666,48,33,144,29,sec_dev_0000
m3_full,19521006,dev,0.0,111,36,0.75,0.24324324324324326,0.3673469387755103,0.17777777777777778,0.9459459459459459,0.7618705035971223,0.2381294964028777,1390,331,0.28225806451612906,0.7,50,124,90,16,sec_dev_0001
m3_full,19521006,dev,0.7,111,61,0.6229508196721312,0.34234234234234234,0.441860465116279,0.23741007194244604,1.1261261261261262,0.7222946544980443,0.2777053455019557,2301,639,0.8571428571428571,0.48,50,28,139,33,sec_dev_0001
m3_full,19521006,dev,0.0,112,27,0.7407407407407407,0.17857142857142858,0.28776978417266186,0.12195121951219512,0.9464285714285714,0.7805100182149363,0.21948998178506376,1098,241,0.22580645161290322,0.7142857142857143,49,155,82,10,sec_dev_0002
m3_full,19521006,dev,0.7,112,64,0.671875,0.38392857142857145,0.4886363636363637,0.3076923076923077,1.0535714285714286,0.7231818181818181,0.2768181818181818,2200,609,0.65,0.5306122448979592,49,40,130,40,sec_dev_0002
m3_full,19521006,dev,0.0,104,37,0.6756756756756757,0.2403846153846154,0.3546099290780142,0.1411764705882353,0.8942307692307693,0.7678431372549019,0.23215686274509803,1275,296,0.29457364341085274,0.6666666666666666,57,129,85,12,sec_dev_0003
m3_full,19521006,dev,0.7,104,59,0.7288135593220338,0.41346153846153844,0.5276073619631901,0.17424242424242425,0.9807692307692307,0.736455463728191,0.263544536271809,2178,574,0.7647058823529411,0.45614035087719296,57,34,132,23,sec_dev_0003
m3_full,19521006,dev,0.0,117,39,0.8205128205128205,0.27350427350427353,0.41025641025641024,0.14150943396226415,0.9145299145299145,0.7757306226175349,0.22426937738246505,1574,353,0.2727272727272727,0.6818181818181818,44,110,106,15,sec_dev_0004
m3_full,19521006,dev,0.7,117,67,0.7761194029850746,0.4444444444444444,0.5652173913043478,0.2097902097902098,0.9829059829059829,0.7592671495526204,0.24073285044737963,2347,565,0.896551724137931,0.5909090909090909,44,29,143,30,sec_dev_0004
