model,split,metric,mean,std,seed19521006
m3_full,dev,precision,0.7055,0.0000,0.7055
m3_full,dev,recall,0.1746,0.0000,0.1746
m3_full,dev,f1,0.2792,0.0000,0.2792
m3_full,dev,wrong_merge_rate,0.1815,0.0000,0.1815
m3_full,dev,fragmentation_rate,0.9774,0.0000,0.9774
m3_full,dev,impossible_transition_rate,0.2694,0.0000,0.2694
m3_full,dev,trajectory_consistency_rate,0.7306,0.0000,0.7306
m3_full,dev,dangling_precision,0.2602,0.0000,0.2602
m3_full,dev,dangling_recall,0.7849,0.0000,0.7849
m3_full,test,precision,0.6994,0.0000,0.6994
m3_full,test,recall,0.1751,0.0000,0.1751
m3_full,test,f1,0.2782,0.0000,0.2782
m3_full,test,wrong_merge_rate,0.2038,0.0000,0.2038
m3_full,test,fragmentation_rate,0.9775,0.0000,0.9775
m3_full,test,impossible_transition_rate,0.2761,0.0000,0.2761
m3_full,test,trajectory_consistency_rate,0.7239,0.0000,0.7239
m3_full,test,dangling_precision,0.2541,0.0000,0.2541
m3_full,test,dangling_recall,0.7422,0.0000,0.7422
no_motion,dev,precision,0.7424,0.0000,0.7424
no_motion,dev,recall,0.2104,0.0000,0.2104
no_motion,dev,f1,0.3270,0.0000,0.3270
no_motion,dev,wrong_merge_rate,0.1835,0.0000,0.1835
no_motion,dev,fragmentation_rate,0.9855,0.0000,0.9855
no_motion,dev,impossible_transition_rate,0.2568,0.0000,0.2568
no_motion,dev,trajectory_consistency_rate,0.7432,0.0000,0.7432
no_motion,dev,dangling_precision,0.2806,0.0000,0.2806
no_motion,dev,dangling_recall,0.7308,0.0000,0.7308
no_motion,test,precision,0.7263,0.0000,0.7263
no_motion,test,recall,0.2099,0.0000,0.2099
no_motion,test,f1,0.3231,0.0000,0.3231
no_motion,test,wrong_merge_rate,0.1780,0.0000,0.1780
no_motion,test,fragmentation_rate,0.9734,0.0000,0.9734
no_motion,test,impossible_transition_rate,0.2473,0.0000,0.2473
no_motion,test,trajectory_consistency_rate,0.7527,0.0000,0.7527
no_motion,test,dangling_precision,0.2805,0.0000,0.2805
no_motion,test,dangling_recall,0.7182,0.0000,0.7182
no_time,dev,precision,0.7138,0.0000,0.7138
no_time,dev,recall,0.1615,0.0000,0.1615
no_time,dev,f1,0.2612,0.0000,0.2612
no_time,dev,wrong_merge_rate,0.1973,0.0000,0.1973
no_time,dev,fragmentation_rate,0.9693,0.0000,0.9693
no_time,dev,impossible_transition_rate,0.2601,0.0000,0.2601
no_time,dev,trajectory_consistency_rate,0.7399,0.0000,0.7399
no_time,dev,dangling_precision,0.2513,0.0000,0.2513
