variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521011,dev,0.0,113,22,0.7272727272727273,0.1415929203539823,0.23703703703703705,0.11764705882352941,1.0265486725663717,0.8084507042253521,0.19154929577464788,1065,204,0.25157232704402516,0.8333333333333334,48,159,85,10,sec_dev_0000
m3_full,19521011,dev,0.7,113,61,0.5737704918032787,0.30973451327433627,0.4022988505747126,0.25735294117647056,1.1504424778761062,0.7264065335753176,0.2735934664246824,2204,603,0.675,0.5625,48,40,136,35,sec_dev_0000
m3_full,19521011,dev,0.0,111,30,0.7666666666666667,0.2072072072072072,0.326241134751773,0.2054794520547945,0.8828828828828829,0.7585004359197908,0.24149956408020923,1147,277,0.24666666666666667,0.74,50,150,73,15,sec_dev_0001
m3_full,19521011,dev,0.7,111,52,0.6730769230769231,0.3153153153153153,0.4294478527607362,0.20300751879699247,1.054054054054054,0.7304632662611137,0.2695367337388863,2137,576,0.5777777777777777,0.52,50,45,133,27,sec_dev_0001
m3_full,19521011,dev,0.0,112,14,0.8571428571428571,0.10714285714285714,0.19047619047619047,0.13432835820895522,0.9553571428571429,0.7891077636152954,0.21089223638470453,863,182,0.2222222222222222,0.8163265306122449,49,180,67,9,sec_dev_0002
m3_full,19521011,dev,0.7,112,60,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.33884297520661155,1.1517857142857142,0.6582914572864322,0.3417085427135678,2189,748,0.6666666666666666,0.5714285714285714,49,42,121,41,sec_dev_0002
m3_full,19521011,dev,0.0,104,26,0.6538461538461539,0.16346153846153846,0.26153846153846155,0.14130434782608695,1.0192307692307692,0.7776872964169381,0.22231270358306188,1228,273,0.3082706766917293,0.7192982456140351,57,133,92,13,sec_dev_0003
m3_full,19521011,dev,0.7,104,59,0.5932203389830508,0.33653846153846156,0.4294478527607362,0.19696969696969696,1.125,0.7344763670064876,0.2655236329935125,2158,573,0.6944444444444444,0.43859649122807015,57,36,132,26,sec_dev_0003
m3_full,19521011,dev,0.0,117,19,0.7894736842105263,0.1282051282051282,0.22058823529411764,0.1125,0.9743589743589743,0.779,0.221,1000,221,0.2,0.7727272727272727,44,170,80,9,sec_dev_0004
m3_full,19521011,dev,0.7,117,60,0.7,0.358974358974359,0.4745762711864407,0.23741007194244604,1.0854700854700854,0.730786317192359,0.2692136828076411,2251,606,0.6666666666666666,0.5909090909090909,44,39,139,33,sec_dev_0004
m3_full,19521011,dev,0.0,121,36,0.7222222222222222,0.21487603305785125,0.33121019108280253,0.18947368421052632,0.9586776859504132,0.7597069597069597,0.2402930402930403,1365,328,0.23529411764705882,0.8,40,136,95,18,sec_dev_0005
m3_full,19521011,dev,0.7,121,65,0.7076923076923077,0.38016528925619836,0.4946236559139785,0.22695035460992907,1.0743801652892562,0.74394006170119,0.2560599382988101,2269,581,0.6585365853658537,0.675,40,41,141,32,sec_dev_0005
m3_full,19521011,dev,0.0,106,25,0.64,0.1509433962264151,0.24427480916030533,0.13095238095238096,0.9811320754716981,0.7795698924731183,0.22043010752688172,1116,246,0.2857142857142857,0.7636363636363637,55,147,84,11,sec_dev_0006
m3_full,19521011,dev,0.7,106,53,0.6226415094339622,0.3113207547169811,0.41509433962264153,0.2357142857142857,1.2169811320754718,0.7460829493087557,0.25391705069124426,2170,551,0.75,0.4909090909090909,55,36,140,33,sec_dev_0006
m3_full,19521011,dev,0.0,107,15,0.9333333333333333,0.1308411214953271,0.22950819672131145,0.09090909090909091,0.9813084112149533,0.7730646871686109,0.22693531283138918,943,214,0.24096385542168675,0.7407407407407407,54,166,77,7,sec_dev_0007
m3_full,19521011,dev,0.7,107,56,0.7142857142857143,0.37383177570093457,0.49079754601226994,0.21052631578947367,1.0467289719626167,0.7206516530905607,0.2793483469094394,2087,583,0.6086956521739131,0.5185185185185185,54,46,133,28,sec_dev_0007
