decode,arm,split,metric,seed19521011,seed19521012,seed19521013,seed19521014,seed19521015,seed19521016,seed19521017,seed19521018,seed19521019,seed19521020,seed19521021,seed19521022,seed19521023,seed19521024,seed19521025,mean
standard,no_rel,dev,f1,-0.045170,-0.005041,-0.033488,-0.073162,-0.011840,-0.053434,+0.013354,-0.069135,-0.043987,-0.126825,-0.009135,-0.129336,-0.125190,-0.129602,-0.111695,-0.063579
standard,no_rel,dev,precision,+0.030271,+0.035744,-0.079899,-0.031236,+0.054428,-0.003884,+0.095291,-0.273352,-0.016451,+0.054245,-0.037116,-0.061255,+0.070554,+0.016549,-0.079745,-0.015057
standard,no_rel,dev,recall,-0.025885,-0.003227,-0.019639,-0.047385,-0.012467,-0.037038,+0.007509,-0.037906,-0.031754,-0.082451,-0.005288,-0.078508,-0.078087,-0.108472,-0.067171,-0.041851
standard,no_rel,dev,wrong_merge_rate,-0.056280,-0.021305,+0.021716,-0.092613,-0.072051,+0.002521,-0.029966,+0.115211,-0.015035,-0.050741,+0.004207,-0.090168,-0.092216,-0.013784,-0.165978,-0.037099
standard,no_rel,dev,fragmentation_rate,+0.016862,-0.002651,-0.002305,+0.000976,-0.033146,+0.008948,-0.002502,+0.027090,-0.015457,-0.005498,+0.028952,+0.015701,-0.011199,-0.014638,-0.002170,+0.000598
standard,no_rel,dev,impossible_transition_rate,-0.048841,-0.009466,+0.012127,-0.063252,-0.015422,-0.011171,-0.032134,+0.016532,-0.021361,-0.028430,+0.006728,-0.102013,-0.085799,-0.013700,-0.174915,-0.038075
standard,no_rel,dev,dangling_precision,-0.003801,+0.003161,-0.012611,-0.020044,-0.014985,-0.012549,-0.008692,-0.006651,-0.021337,-0.029883,-0.010191,-0.027474,-0.035321,-0.074392,-0.021779,-0.019770
standard,no_rel,dev,dangling_recall,+0.028365,+0.039915,+0.016271,+0.009346,+0.046909,+0.060215,-0.028944,+0.084977,+0.033185,+0.105611,-0.048258,+0.088426,+0.087272,+0.166258,+0.097674,+0.052481
standard,no_rel,test,f1,-0.028784,-0.014981,-0.057080,-0.064699,-0.072314,-0.072499,-0.028193,-0.040036,-0.024702,-0.123100,+0.037873,-0.134050,-0.105654,-0.107857,-0.140073,-0.065077
standard,no_rel,test,precision,-0.041356,-0.134463,-0.109419,+0.037557,+0.034429,-0.049664,-0.000369,-0.147436,+0.053223,+0.105165,-0.002096,+0.086532,-0.096150,+0.066654,+0.066406,-0.008732
standard,no_rel,test,recall,-0.015957,-0.008241,-0.035364,-0.043051,-0.056034,-0.048256,-0.016345,-0.021340,-0.019629,-0.079677,+0.024754,-0.079098,-0.064203,-0.089522,-0.087159,-0.042608
standard,no_rel,test,wrong_merge_rate,-0.033306,+0.016291,+0.025344,-0.118525,-0.058828,-0.002931,-0.030786,-0.000901,-0.050097,-0.071843,+0.007894,-0.063997,-0.035786,-0.043725,-0.086135,-0.036489
standard,no_rel,test,fragmentation_rate,+0.002154,+0.016687,+0.043965,-0.002157,+0.010772,+0.013557,+0.026922,+0.013464,-0.027610,+0.012589,-0.009138,+0.011177,-0.032175,-0.017729,+0.016327,+0.005254
standard,no_rel,test,impossible_transition_rate,-0.040764,+0.000098,+0.023377,-0.080554,-0.009701,-0.013260,-0.012665,-0.012593,-0.025573,-0.036483,+0.025094,-0.073238,-0.058705,-0.023382,-0.115398,-0.030250
standard,no_rel,test,dangling_precision,-0.002961,+0.001451,-0.005135,-0.019494,-0.027780,-0.011754,-0.000676,-0.002444,-0.016179,-0.026091,-0.002045,-0.026295,-0.030826,-0.058466,-0.025733,-0.016962
standard,no_rel,test,dangling_recall,+0.031100,+0.031432,+0.021536,+0.007692,+0.027416,+0.077582,+0.031020,+0.052778,+0.042346,+0.097880,-0.048545,+0.100176,+0.080943,+0.134061,+0.092824,+0.052016
standard,no_time,dev,f1,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,dev,precision,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,dev,recall,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,dev,wrong_merge_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,dev,fragmentation_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
